"LOCUSTAG","GENE","EXP_70_TestInt","EXP_70_CntlInt","EXP_71_TestInt","EXP_71_CntlInt","EXP_72_TestInt","EXP_72_CntlInt","EXP_73_TestInt","EXP_73_CntlInt","EXP_74_TestInt","EXP_74_CntlInt","EXP_75_TestInt","EXP_75_CntlInt","EXP_76_TestInt","EXP_76_CntlInt","EXP_77_TestInt","EXP_77_CntlInt","EXP_78_TestInt","EXP_78_CntlInt","EXP_79_TestInt","EXP_79_CntlInt","EXP_80_TestInt","EXP_80_CntlInt","mean_exp","stdev_exp","RSD"
"b3531","bcsZ",2512.66,1603.49,2509.18,3171.611,5341.392,9548.113,4402.173,7362.602,1285.399,1044.068,2768.713,2641.241,511.114,613.322,675.588,750.652,625.775,684.307,412.143,416.739,3505.732,3314.326,2531.83363636364,2138.63439821733,0.844697837765108
"b3532","bcsB",2862.381,2057.961,2319.342,3100.962,4633.864,6277.611,4978.516,6385.129,1080.138,1938.87,1950.327,2658.69,651.219,838.112,705.499,840.731,709.422,652.349,489.274,529.872,3378.109,3095.593,2369.72595454545,1506.12671531561,0.635569995942633
"b3533","bcsA",2564.568,1558.022,2130.535,4448.182,3862.984,7183.643,3573.198,6118.66,948.169,2175.302,2017.706,3783.485,327.647,723.074,541.193,980.926,625.125,588.949,340.97,341.68,3940.055,4182.066,2407.09722727273,1721.66355308136,0.715244707847562
"b3534","bcsQ",2585.092,2359.066,2736.28,2610.3,5037.527,6587.43,5173.769,6195.479,1441.145,1140.144,2714.555,2739.126,611.623,506.88,736.479,533.558,936.737,877.041,569.677,592.224,3513.03,3428.828,2437.545,1554.81839200576,0.637862436183027
"b3535","yhjR",1400.766,2234.908,2735.332,1645.716,2760.091,2952.047,2963.323,2914.434,650.768,722.073,1577.036,1878.024,704.033,449.601,759.813,551.226,526.942,625.341,411.002,399.763,2607.588,2682.756,1552.39013636364,790.355459090924,0.509121670240881
"b3536","bcsE",4667.713,3804.523,4438.942,4557.415,7276.354,13540.562,7948.682,11202.243,1252.852,1403.682,2761.048,2530.137,1737.744,2043.746,1336.737,1980.295,5039.273,5430.992,3630.619,2961.269,7921.182,5497.271,4680.14913636364,2670.99948175814,0.57070819837879
"b3537","bcsF",1905.561,2372.184,4243.385,3803.205,13083.854,4752.596,9146.474,3504.517,1099.399,913.651,1810.284,1656.589,938.687,488.258,940.315,520.95,1913.502,1370.038,908.599,841.314,3246.119,3614.299,2866.99,2449.89843194944,0.854519350241696
"b3538","bcsG",2906.365,2474.635,3394.539,4003.372,4060.664,6420.634,5297.148,6649.361,1241.183,1533.38,2230.266,3055.092,815.477,951.79,836.082,890.517,1354.928,1142.517,799.803,610.776,4230.17,3659.675,2661.74427272727,1483.64929862124,0.557397385550141
"b3539","yhjV",4334.05,2217.164,2684.616,4038.209,4236.039,9061.285,5337.691,9905.403,986.722,1369.563,2070.839,2483.226,875.826,1429.703,803.971,1295.237,808.162,784.43,659.167,518.248,4688.79,3942.787,2933.23309090909,2289.43605346689,0.780516236695437
"b3540","dppF",2935.723,3041.358,3069.951,2560.128,4700.179,8692.166,4563.737,7092.114,889.9,904.201,2503.967,2191.951,525.119,655.068,538.76,677.699,1560.724,1214.376,571.853,447.735,3380.451,3008.857,2533.00077272727,1901.42166274532,0.75065972470986
