ACCESSION	GSE1730
TITLE	mRNA abundance from wild type

EXP	NAME	STDDEV	SAMPLES	TIMEPOINT	CHANNELS	TEST COL	TEST BKGD	CNTL COL	CNTL BKGD	LOG	NORM	RMA DATA
70	mRNA abundance WT on LB / Genomic DNA from dnaC(ts) mutant	0.929	GSM30231,GSM30232,GSM30233,GSM30234		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
71	mRNA abundance WT on LB / Genomic DNA from dnaC(ts) mutant (dye swap)	0.875	GSM30235,GSM30236,GSM30237,GSM30238		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
72	mRNA abundance gyrA D82G mutant on LB / Genomic DNA from dnaC(ts) mutant	1.135	GSM30239,GSM30240,GSM30241,GSM30242		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
73	mRNA abundance gyrA D82G mutant on LB / Genomic DNA from dnaC(ts) mutant (dye swap)	0.969	GSM30243,GSM30244,GSM30245,GSM30246		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
74	mRNA abundance (wt in LB, norfloxacin for 10 min)  / Genomic DNA from dnaC(ts) mutant	0.697	GSM30247,GSM30248,GSM30249,GSM30250		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
75	mRNA abundance (wt in LB, norfloxacin for 10 min) / Genomic DNA from dnaC(ts) mutant (dye swap)	0.631	GSM30251,GSM30252,GSM30253,GSM30254		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
76	mRNA abundance (wt in LB, norfloxacin for 30 min) / Genomic DNA from dnaC(ts) mutant	0.904	GSM30255,GSM30256,GSM30257,GSM30258		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
77	mRNA abundance (wt in LB, norfloxacin for 30 min) / Genomic DNA from dnaC(ts) mutant (dye swap)	0.811	GSM30259,GSM30260,GSM30261,GSM30262		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
78	mRNA abundance (gyrA D82G, LB) / mRNA abundance (wt, LB)	0.285	GSM30330,GSM30331,GSM30332,GSM30333		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	
79	mRNA abundance (gyrA D82G, LB) / mRNA abundance (wt, LB) (dye swap)	0.345	GSM30334,GSM30335,GSM30336,GSM30337		2	Cy3_Intensity		Cy5_Intensity		Yes	Yes	
80	mRNA abundance (wt, M9) / Genomic DNA from dnaC(ts) mutant	0.300	GSM30338,GSM30339,GSM30340,GSM30341		2	Cy5_Intensity		Cy3_Intensity		Yes	Yes	

LABELS
LOCUSTAG	Locus_Tag
GENE	Name
EXP_num_M	Ratio of Test/Control
EXP_num_A	Average=0.5*(Test+Control)
EXP_num_TestInt	Test Intensity
EXP_num_CntlInt	Control Intensity

LOCUSTAG	GENE	EXP_70_M	EXP_70_A	EXP_70_TestInt	EXP_70_CntlInt	EXP_71_M	EXP_71_A	EXP_71_TestInt	EXP_71_CntlInt	EXP_72_M	EXP_72_A	EXP_72_TestInt	EXP_72_CntlInt	EXP_73_M	EXP_73_A	EXP_73_TestInt	EXP_73_CntlInt	EXP_74_M	EXP_74_A	EXP_74_TestInt	EXP_74_CntlInt	EXP_75_M	EXP_75_A	EXP_75_TestInt	EXP_75_CntlInt	EXP_76_M	EXP_76_A	EXP_76_TestInt	EXP_76_CntlInt	EXP_77_M	EXP_77_A	EXP_77_TestInt	EXP_77_CntlInt	EXP_78_M	EXP_78_A	EXP_78_TestInt	EXP_78_CntlInt	EXP_79_M	EXP_79_A	EXP_79_TestInt	EXP_79_CntlInt	EXP_80_M	EXP_80_A	EXP_80_TestInt	EXP_80_CntlInt
b3322	gspB	-1.372	11.322	1591.311	4118.776	0.161	12.702	7045.567	6301.589	1.183	12.860	11202.243	4933.856	1.224	12.550	9165.514	3923.703	0.173	11.040	2235.683	1983.043	0.051	12.218	4849.096	4680.672	0.589	10.360	1611.848	1071.562	0.193	10.194	1252.418	1095.596	0.007	11.143	2266.892	2255.920	0.204	10.611	1678.550	1457.217	0.148	12.784	7424.098	6700.254
b3323	gspA	0.906	11.108	3021.397	1612.407	-0.863	11.612	2320.950	4221.383	-0.990	13.167	6526.076	12961.994	-0.714	12.934	6110.184	10022.814	-0.930	10.786	1279.177	2437.185	-0.259	11.398	2466.928	2952.047	-0.650	9.786	704.766	1105.896	-0.687	9.676	644.707	1037.935	0.156	9.224	631.220	566.527	0.102	8.302	326.967	304.648	0.041	12.047	4292.195	4171.932
b3324	gspC	0.102	11.222	2474.635	2305.717	-0.233	11.735	3144.250	3695.362	-0.486	12.374	4485.335	6281.964	0.066	12.529	6046.984	5776.580	1.218	10.658	2464.365	1059.377	0.133	11.718	3527.670	3217.000	0.325	10.430	1544.046	1232.609	0.608	10.459	1737.744	1140.144	-0.123	11.166	2201.849	2397.807	-0.035	10.167	1135.805	1163.697	0.205	12.212	5093.706	4418.987
b3325	gspD	1.253	10.876	2901.333	1217.326	-1.037	11.266	1719.174	3527.670	-1.141	12.485	3860.307	8513.284	-0.970	12.279	3550.976	6955.796	-0.899	10.344	951.790	1774.873	-0.687	11.313	2005.158	3228.168	-1.252	9.505	470.810	1121.334	-0.950	9.482	514.490	993.930	0.037	9.079	547.798	533.927	-0.010	8.285	310.834	312.996	0.012	12.083	4356.639	4320.552
b3326	gspE	1.168	10.639	2390.340	1063.792	-1.140	11.221	1607.942	3543.600	-1.345	12.063	2684.616	6819.735	-0.981	12.205	3360.593	6633.249	-1.319	9.530	468.044	1167.737	-1.134	11.079	1460.250	3204.759	-1.184	9.301	418.476	950.801	-1.137	9.311	428.307	941.946	0.031	8.666	410.574	401.846	-0.134	8.359	313.430	343.937	0.181	11.883	4021.450	3547.286
b3327	gspF	0.955	10.986	2823.952	1456.712	-0.691	11.349	2052.975	3314.326	-1.120	12.713	4554.257	9898.540	-0.910	12.455	4096.000	7696.570	-0.428	10.079	932.526	1254.590	-0.100	11.390	2592.270	2778.326	-0.847	9.407	506.178	910.490	-0.761	9.430	529.872	897.955	0.189	9.711	894.849	784.973	-0.093	8.404	327.988	349.828	0.007	9.516	733.931	730.378
b3328	gspG	0.206	10.907	2062.245	1787.838	-0.386	11.224	2092.483	2734.384	-0.971	11.873	2679.039	5251.450	-0.859	12.006	3054.033	5539.346	-0.210	10.000	952.120	1101.306	-0.466	11.047	1800.273	2486.671	-0.636	9.222	479.039	744.434	-0.469	9.528	627.512	868.571	-0.158	9.227	567.313	632.973	-0.241	8.469	325.948	385.210	0.018	11.547	3010.944	2973.611
b3329	gspH	0.294	11.002	2270.824	1852.169	-0.162	11.306	2393.656	2678.111	-0.740	12.677	5067.295	8463.273	-0.499	12.449	4703.438	6647.057	-0.113	10.026	1002.579	1084.264	0.005	11.232	2409.470	2401.134	-0.321	9.831	814.912	1017.985	-0.228	9.280	574.435	672.784	0.260	10.630	1734.134	1448.155	0.079	8.587	395.217	374.157	-0.084	11.577	2967.434	3145.339
b3330	gspI	0.890	10.196	1596.836	861.675	-0.460	10.732	1450.164	1994.761	-0.237	11.857	3416.966	4027.029	0.157	12.215	5020.099	4502.467	-0.161	9.677	774.166	865.566	-0.048	10.700	1636.049	1691.397	-0.387	9.170	503.728	658.710	-0.358	8.922	428.455	549.129	0.127	8.769	455.877	417.462	0.144	8.113	291.025	263.380	-0.005	11.668	3248.369	3259.647
b3331	gspJ	-0.665	9.497	573.838	909.860	0.076	10.457	1443.144	1369.089	0.644	10.232	1503.386	962.071	0.075	9.356	672.551	638.481	-0.141	7.802	212.527	234.347	-0.195	9.777	820.011	938.687	0.182	8.618	418.476	368.878	0.031	8.304	319.462	312.671	-0.077	8.111	269.194	283.951	-0.295	8.123	251.689	308.794	0.031	11.095	2211.026	2164.023
b3332	gspK	0.896	10.657	2202.613	1183.628	-0.780	11.028	1593.518	2736.280	-0.921	12.126	3248.369	6150.551	-0.697	11.964	3137.718	5086.650	-0.482	10.098	927.369	1295.237	-0.174	10.829	1712.633	1932.162	-0.638	9.070	430.837	670.457	-0.676	9.055	420.803	672.318	0.073	8.877	482.204	458.412	-0.109	8.450	336.742	363.170	-0.010	11.636	3171.611	3193.671
b3333	gspL	0.999	11.011	2917.466	1459.744	-0.987	11.305	1797.156	3562.070	-1.109	11.926	2649.492	5714.850	-0.685	12.137	3552.207	5710.890	-0.530	9.938	816.325	1178.716	-0.658	11.152	1811.539	2858.416	-0.856	9.299	468.206	847.459	-0.851	9.587	572.646	1032.911	0.023	9.233	606.557	596.964	-0.182	8.535	348.255	395.080	-0.041	11.911	3796.620	3906.064
b3334	gspM	0.482	11.205	2789.904	1997.528	-0.669	11.928	3090.233	4913.380	-1.079	12.108	3037.145	6416.185	-0.450	12.129	3832.314	5235.095	-0.625	10.116	893.609	1378.134	-0.311	11.280	2232.586	2769.673	-0.554	9.457	580.037	851.581	-0.581	9.935	800.357	1197.243	0.069	8.519	375.716	358.170	0.139	9.535	778.471	706.967	-0.353	11.714	2972.580	3796.620
b3335	gspO	0.822	11.324	3408.686	1928.148	-0.680	11.584	2425.388	3885.811	-1.107	12.792	4832.319	10408.684	-0.550	12.891	6277.611	9190.961	-0.435	10.503	1248.085	1687.299	0.228	11.340	2805.418	2395.316	-0.645	10.062	854.834	1336.737	-0.452	9.756	739.292	1011.303	0.067	10.403	1385.797	1322.911	0.297	9.388	742.630	604.459	-0.061	12.149	4446.640	4638.684
b3336	bfr	0.182	11.875	4000.598	3526.448	-0.090	12.167	4457.441	4744.367	-0.273	13.124	8121.328	9813.146	0.278	12.903	8433.992	6955.796	0.145	10.578	1607.385	1453.686	0.356	11.284	2821.018	2204.140	-0.327	10.346	1162.085	1457.722	0.076	10.292	1287.182	1221.129	0.418	11.972	4643.510	3475.488	-0.073	10.511	1422.783	1496.628	0.313	12.421	6112.302	4920.196
b3337	bfd	0.314	11.060	2380.419	1914.829	-0.050	11.225	2352.534	2435.496	0.436	12.670	7580.094	5603.063	0.381	12.453	6398.420	4913.380	-0.109	10.003	988.091	1065.637	-0.136	10.948	1884.544	2070.839	-0.587	9.484	584.273	877.649	-0.248	9.442	638.260	757.972	0.311	9.771	973.138	784.430	0.003	8.711	419.492	418.621	-0.073	12.180	4524.366	4759.189
b3338	chiA	0.623	11.725	4200.950	2727.758	-0.071	11.483	2792.807	2933.689	1.075	12.987	11783.659	5593.362	0.352	12.838	8271.883	6480.997	-0.092	9.016	501.463	534.483	-0.152	8.680	389.101	432.333	-0.188	11.137	2109.960	2403.631	0.246	9.513	795.655	670.921	-0.002	9.934	977.532	978.888	0.775	9.467	925.764	541.006	-0.052	9.817	885.900	918.413
b3339	tufA	-3.524	12.838	2158.779	24833.500	3.357	13.167	29440.203	2873.314	3.146	14.039	50081.842	5657.700	3.129	13.959	47101.977	5384.139	0.385	13.322	11702.264	8961.348	1.324	13.408	17198.558	6869.551	3.340	12.086	13834.664	1366.245	1.225	12.442	8507.385	3639.438	0.234	13.112	9601.207	8163.658	0.183	14.202	20080.395	17688.205	0.044	13.632	12890.316	12503.115
b3340	fusA	-2.888	12.797	2615.734	19362.800	3.059	13.205	27260.039	3270.964	1.766	14.472	41909.800	12322.437	0.873	14.653	34865.197	19036.756	1.846	12.527	11190.602	3112.806	1.781	13.274	18362.820	5343.243	2.576	11.451	6836.300	1146.484	1.787	12.355	9731.861	2820.040	0.173	14.522	24980.245	22157.385	0.274	13.739	15034.612	12433.975	0.094	13.179	9581.262	8976.890
b3341	rpsG	-3.033	11.743	1198.073	9806.346	2.982	12.402	15212.820	1925.477	3.891	13.334	39772.951	2680.897	3.959	12.768	27506.787	1768.732	2.366	12.056	9667.988	1875.423	2.035	12.669	13183.995	3217.000	4.796	10.772	9216.479	331.761	4.211	10.377	5722.778	309.008	0.200	13.620	13493.715	11746.961	0.183	12.682	7001.751	6167.628	-0.165	12.370	4999.264	5605.005
b3342	rpsL	-1.360	11.278	1549.944	3978.476	0.950	13.061	11877.964	6148.420	2.432	13.770	32451.555	6013.545	2.510	13.612	29882.226	5245.992	1.463	11.576	5069.051	1838.738	1.915	12.403	10517.469	2788.938	2.958	10.126	3114.964	400.873	3.221	10.595	4723.040	506.529	0.277	11.014	2276.339	1878.675	0.445	11.837	4268.460	3135.544	0.014	12.170	4630.653	4585.934
b3343	yheL	-2.267	11.186	1061.950	5111.390	1.722	11.398	4901.474	1485.775	1.901	12.091	8431.070	2257.484	1.332	11.880	5980.291	2375.474	1.118	10.974	2963.323	1365.298	1.222	11.508	4448.182	1906.882	1.780	10.232	2228.721	648.966	1.985	10.028	2077.309	524.755	0.470	10.943	2316.932	1672.743	0.131	9.407	710.406	648.742	-0.130	11.852	3533.789	3867.003
b3344	yheM	-0.802	11.054	1610.173	2807.363	0.878	11.389	3635.656	1978.238	1.148	12.513	8701.208	3926.423	1.139	12.659	9597.880	4358.150	0.248	10.235	1313.317	1105.896	0.630	11.283	3099.887	2003.074	1.021	9.670	1160.475	571.853	0.949	9.621	1094.078	566.723	0.192	10.061	1141.725	999.457	0.319	9.093	609.930	488.935	-0.003	11.724	3379.280	3386.314
b3345	yheN	-0.437	10.501	1245.492	1686.130	0.685	11.536	3765.172	2341.959	0.627	12.162	5695.078	3687.686	0.708	11.998	5227.843	3200.319	0.348	9.961	1124.447	883.447	-0.053	11.159	2245.000	2329.008	0.813	9.887	1255.025	714.356	0.531	9.676	983.308	680.523	0.251	10.501	1580.867	1328.424	0.118	9.481	744.434	685.969	-0.013	11.809	3571.959	3604.292
b3346	yheO	-0.648	10.994	1629.259	2553.039	1.043	11.485	4114.496	1996.836	1.111	12.664	9538.191	4415.925	0.729	12.407	6992.051	4218.458	0.226	10.173	1248.517	1067.485	0.001	10.797	1779.801	1778.567	0.726	9.690	1062.318	642.254	0.606	9.286	770.152	506.002	0.151	10.665	1710.853	1540.839	-0.070	9.556	734.694	771.221	0.002	11.771	3497.237	3492.393
b3347	fkpA	-1.416	11.864	2281.869	6089.044	1.717	12.303	9162.338	2787.005	1.529	13.327	17456.782	6049.080	1.667	13.067	15292.111	4815.601	0.653	9.872	1175.045	747.277	1.432	11.685	5408.452	2004.463	1.443	9.931	1609.615	592.019	1.232	10.127	1713.820	729.619	0.283	12.875	8286.229	6810.288	0.119	12.097	4565.319	4203.863	0.339	11.777	3946.888	3120.367
b3348	slyX	-1.336	10.842	1155.259	2916.455	0.503	11.920	4613.033	3255.131	1.250	11.579	4718.132	1983.730	0.279	11.173	2543.325	2096.112	1.026	9.237	861.078	422.849	1.516	11.409	4598.667	1607.942	1.792	9.297	1170.574	338.028	0.981	9.610	1097.876	556.215	0.048	9.380	677.464	655.295	-0.090	9.107	534.483	568.888	-0.028	12.051	4202.406	4284.764
b3349	slyD																																												
b3350	kefB	0.701	11.533	3778.244	2324.170	-1.258	12.293	3244.994	7760.856	-0.744	12.716	5198.934	8707.241	-0.413	12.496	5006.199	6665.512	-0.815	10.770	1316.507	2316.129	-0.734	11.946	3059.330	5088.413	-1.036	10.273	864.067	1771.800	-1.079	10.341	892.371	1885.198	0.006	10.244	1215.218	1210.175	0.302	8.989	564.175	457.618	-0.080	11.740	3326.986	3516.684
b3351	kefG	-0.111	11.562	2909.388	3142.071	-0.026	11.589	3052.975	3108.494	-0.237	12.518	5402.832	6367.450	-0.008	12.505	5796.635	5828.868	0.006	10.691	1656.589	1649.714	-0.171	11.263	2316.129	2607.588	0.682	9.002	649.416	404.782	0.551	9.430	834.923	569.874	0.222	10.275	1338.128	1147.279	0.045	9.205	599.452	581.043	0.088	11.716	3468.269	3263.038
b3352	yheS	-0.273	11.457	2557.467	3090.233	-0.262	12.079	3950.994	4737.795	0.258	12.962	8725.366	7296.556	0.212	12.846	7923.928	6841.040	-1.031	11.121	1558.022	3183.725	-0.334	11.683	2928.609	3691.522	-0.213	9.987	942.599	1092.562	-0.033	9.799	880.696	901.073	0.268	10.354	1436.159	1192.687	0.125	9.256	638.481	585.490	-0.002	12.194	4682.295	4688.790
b3353	yheT	-0.001	11.533	2962.296	2964.350	0.285	11.777	3873.709	3179.314	0.183	12.912	8211.898	7233.609	0.298	12.691	7332.045	5963.733	0.106	10.182	1205.152	1119.780	-0.142	11.398	2569.016	2834.739	0.238	9.315	691.699	586.505	0.183	9.443	741.601	653.254	0.275	9.833	1003.274	829.156	0.061	9.116	566.723	543.260	0.111	11.666	3376.938	3126.862
b3354	yheU	-0.705	10.676	1281.395	2088.860	0.671	11.383	3369.923	2116.552	0.888	11.927	5297.148	2862.381	1.007	11.965	5667.513	2820.040	0.164	10.357	1388.200	1239.034	0.211	10.986	2182.098	1885.198	0.781	9.359	860.780	500.942	0.092	9.606	804.529	754.826	0.239	10.670	1769.959	1499.743	-0.112	9.443	669.528	723.576	-0.143	11.974	3828.331	4227.239
b3355	prkB	0.394	12.285	5720.795	4353.621	-0.881	12.695	4886.209	8998.695	-1.041	13.726	9446.080	19436.758	-1.318	13.659	8192.000	20424.314	-0.562	10.828	1496.109	2208.728	-0.582	11.731	2778.326	4158.940	-0.702	10.220	935.115	1521.206	-0.407	10.260	1064.898	1411.976	0.104	11.399	2799.590	2604.878	0.244	10.022	1131.484	955.426	0.069	12.375	5440.411	5186.336
b3356	yhfA	-0.640	11.639	2554.809	3981.234	0.440	11.886	4408.280	3249.495	0.710	13.361	13456.355	8226.141	0.229	13.192	10131.077	8644.100	0.262	11.095	2395.316	1997.528	0.475	11.715	3963.337	2851.489	0.245	9.733	926.405	781.716	0.354	9.392	759.549	594.280	-0.117	11.408	2609.396	2829.831	0.056	10.460	1436.159	1381.481	-0.097	12.120	4304.112	4603.451
b3357	crp	-1.354	12.236	3017.211	7712.592	0.741	12.829	9406.876	5628.364	1.652	13.481	20269.179	6449.627	1.726	13.273	18003.628	5442.297	0.749	10.901	2478.927	1475.001	0.772	12.069	5614.726	3288.012	0.903	10.589	2106.307	1126.397	0.805	10.199	1553.708	889.284	-0.096	12.739	6612.591	7067.577	-0.050	11.594	3038.198	3145.339	-0.282	12.705	6055.373	7362.602
b3358	yhfK	0.173	11.774	3718.487	3298.284	0.112	11.588	3200.319	2961.269	0.018	13.050	8533.962	8428.148	0.405	12.788	8138.234	6146.289	-0.198	10.961	1861.178	2134.970	-0.099	11.632	3066.761	3284.596	-0.075	9.747	837.241	881.918	-0.035	9.843	907.340	929.622	-0.125	11.760	3321.226	3621.822	0.197	10.329	1377.179	1201.399	0.112	9.594	803.414	743.403
b3359	argD	0.517	11.254	2921.513	2041.622	-0.348	11.651	2850.501	3628.104	-0.419	13.016	7163.754	9577.942	-0.405	12.816	6266.743	8297.724	-0.575	10.809	1469.898	2189.673	-0.237	11.268	2271.611	2677.183	-0.078	9.730	826.574	872.493	-0.053	9.673	801.467	831.458	0.084	10.010	1061.582	1001.537		9.035			0.021	12.334	5200.736	5125.582
b3360	pabA	0.285	11.083	2394.486	1965.254	-0.229	11.635	2937.758	3443.118	-0.210	12.913	7171.206	8294.849	-0.346	12.854	6566.915	8346.757	-0.272	10.161	1041.899	1258.073	-0.421	11.438	2397.807	3210.317	0.129	9.188	609.930	557.760	0.013	9.296	631.439	625.775	0.125	9.798	929.622	852.467	0.107	8.535	384.943	357.426	0.153	10.052	1119.392	1006.757
b3361	fic	-0.132	11.213	2267.678	2484.948	0.247	11.368	2879.295	2426.229	-0.293	12.802	6451.863	7904.727	-0.102	12.511	5634.219	6046.984	0.505	10.262	1462.783	1030.765	0.347	11.352	2947.957	2317.735	-0.148	9.461	669.528	741.858	-0.110	9.262	590.994	637.818	0.446	10.422	1601.269	1175.452	0.350	9.304	713.614	559.890	0.530	10.417	1642.867	1137.775
b3362	yhfG	-0.791	10.680	1247.220	2158.031	0.275	12.165	5051.514	4174.825	0.950	11.660	4497.788	2328.201	-0.098	11.247	2349.275	2514.403	-0.172	9.608	735.204	828.295	0.239	10.769	1895.680	1606.271	-0.135	8.465	337.209	370.287	0.163	9.598	820.011	732.406	0.116	8.895	495.589	457.301	-0.062	8.594	378.199	394.806	-0.100	11.920	3743.054	4011.706
b3363	ppiA	-0.999	11.786	2497.900	4992.338	1.117	12.160	6739.846	3107.417	0.592	13.207	11609.353	7701.907	1.034	13.129	12819.035	6260.230	0.859	10.890	2555.695	1409.043	1.042	11.490	4127.350	2004.463	0.414	9.049	611.412	458.889	0.268	9.455	770.152	639.588	-0.309	12.264	4418.987	5474.456	-0.179	10.943	1850.244	2094.659	-0.027	12.411	5395.347	5497.271
b3364	tsgA	0.851	11.175	3105.264	1721.559	-0.530	11.354	2178.320	3145.339	-1.093	12.626	4328.046	9232.464	-0.858	12.594	4592.296	8323.647	0.325	10.677	1832.376	1462.783	0.285	11.359	2899.322	2379.594	-0.039	9.796	877.041	901.073	-0.058	9.938	961.405	1000.843	0.318	9.674	912.070	731.645	0.442	9.003	597.999	440.195	0.076	12.010	4234.571	4017.271
b3365	nirB	0.160	11.338	2736.280	2449.039	-0.264	12.094	3989.521	4790.631	-0.060	12.258	4797.277	5000.997	-0.249	11.810	3293.715	3914.195	0.131	9.443	728.356	665.133	0.129	10.957	2078.749	1900.944	-0.334	9.348	580.439	731.645	-0.106	9.283	600.491	646.273	1.629	12.058	7499.091	2424.548	1.503	11.035	3532.564	1246.356	-0.107	11.706	3219.230	3467.067
b3366	nirD	0.189	10.705	1782.270	1563.431	0.161	10.935	2070.122	1851.527	-0.614	12.091	3526.448	5397.217	0.029	12.171	4658.016	4565.319	0.189	9.780	938.687	823.429	-0.102	10.695	1600.159	1717.388	0.181	9.173	614.598	542.132	0.108	9.160	593.869	551.035	0.885	10.524	2000.992	1083.512	1.270	9.821	1404.655	582.454	-0.012	11.303	2516.146	2537.162
b3367	nirC	0.476	10.961	2350.904	1690.225	-0.085	11.497	2806.390	2976.704	-0.678	12.511	4614.632	7383.044	-0.608	12.214	3848.285	5865.344	-0.161	10.357	1240.323	1386.758	-0.169	11.214	2240.337	2518.764	-0.363	9.373	584.679	751.954	-0.345	9.409	603.203	766.159	0.349	10.001	1156.460	907.969	0.353	9.575	861.974	674.886	-0.102	11.744	3310.882	3553.438
b3368	cysG	0.536	11.489	3461.064	2387.028	-0.609	11.843	2974.641	4536.928	-0.973	12.222	3409.868	6693.291	-0.329	12.165	4097.420	5146.943	-0.634	10.394	1080.138	1676.225	-0.795	11.445	2116.552	3672.381	-0.722	9.773	681.231	1123.668	-0.667	9.875	745.208	1183.218	0.733	10.740	2204.904	1326.584	0.545	8.938	592.430	406.046	-0.570	11.499	2375.474	3526.448
b3369	yhfL	-0.311	10.957	1784.742	2214.093	-0.144	10.739	1625.874	1796.533	0.781	12.168	6032.332	3510.595	-0.152	11.523	2791.839	3102.037	0.159	10.022	1098.638	983.990	-0.303	10.690	1487.321	1834.918	0.323	9.374	742.116	593.251	0.225	9.193	632.754	541.381	0.106	10.812	1865.052	1732.933	0.176	8.957	528.222	467.558	-0.025	11.945	3908.773	3977.097
b3370	frlA	0.950	11.210	3292.574	1704.343	-0.871	11.585	2271.611	4154.618	-1.351	12.652	4029.821	10279.625	-1.212	12.899	5018.359	11625.459	-0.031	10.161	1132.661	1157.262	-0.104	11.255	2357.431	2533.647	-0.764	9.035	402.543	683.596	-0.620	9.579	616.946	948.169	0.029	9.496	729.366	714.852	0.135	8.430	361.412	329.127	-0.037	11.785	3483.930	3574.436
b3371	frlB	0.453	11.038	2460.098	1797.156	-0.229	11.511	2695.804	3159.543	-0.077	12.576	5945.160	6271.088	-0.617	12.330	4157.498	6376.283	0.250	10.553	1638.318	1377.656	0.795	11.401	3562.070	2052.975	-0.319	8.984	453.356	565.546	-0.278	9.239	548.748	665.364	0.474	9.303	744.434	535.967	0.238	8.961	541.193	458.889	0.284	9.738	942.272	773.898
b3372	b3372	0.285	10.388	1479.096	1213.956	-0.120	10.996	1959.134	2129.059	-0.902	11.647	2346.021	4383.903	-0.594	11.620	2561.903	3867.003	-0.283	8.468	321.016	390.587	-0.594	10.763	1414.425	2134.970	-0.183	8.887	444.334	504.426	-0.265	9.081	494.045	593.663	0.242	9.255	664.442	561.834	0.333	9.003	575.830	457.142	0.003	11.398	2701.416	2695.804
b3373	b3373	0.234	11.186	2526.632	2148.330	-0.123	11.671	3124.696	3402.784	-0.155	12.226	4540.074	5055.016	0.227	12.220	5161.233	4409.808	-0.078	10.165	1117.454	1179.533	0.018	11.025	2096.838	2070.839	-0.226	8.988	469.506	549.129	0.037	9.315	645.154	628.819	0.266	9.725	928.012	771.755	0.106	8.956	515.204	478.707	-0.052	11.371	2601.269	2696.739
b3374	frlD	0.749	11.354	3393.363	2019.105	-0.490	11.500	2443.952	3432.395	-1.070	12.416	3771.702	7918.437	-0.568	12.296	4130.212	6122.903	-0.420	10.116	959.408	1283.618	-0.310	11.526	2648.574	3283.457	-0.355	9.299	556.987	712.378	-0.604	9.444	564.958	858.694	0.214	9.271	665.364	573.639	0.185	8.870	498.863	438.824	0.178	9.872	996.689	881.001
b3375	frlR	0.052	11.148	2310.517	2228.721	0.182	11.046	2252.014	1985.106	0.279	12.629	6977.527	5750.613	-0.265	12.473	5186.336	6232.088	-0.108	10.377	1280.951	1380.524	0.096	11.263	2540.682	2377.122	-0.111	9.257	588.745	635.831	-0.257	9.432	631.877	755.087	-0.348	10.174	1024.000	1303.342	-0.153	8.880	446.805	496.793	-0.220	10.788	1638.318	1908.204
b3376	yhfS	0.627	11.120	2765.836	1790.938	-0.561	11.206	1944.927	2869.334	-0.975	11.841	2616.640	5143.376	-0.598	11.888	3080.609	4662.862	-0.118	10.115	1064.529	1155.259	-0.569	11.173	1895.680	2812.232	-0.696	9.273	486.063	787.426	-0.494	9.321	538.947	759.023	0.052	9.231	611.835	590.175	-0.203	8.532	345.011	397.139	0.084	11.334	2657.769	2507.441
b3377	yhfT	1.384	10.945	3184.829	1220.283	-1.082	11.316	1752.259	3709.477	-1.600	12.304	2904.351	8804.345	-1.063	12.418	3786.108	7910.208	-0.807	10.258	925.764	1619.688	-0.520	11.264	2053.686	2944.894	-1.235	9.555	490.293	1154.058	-1.127	8.819	305.600	667.443	0.086	9.090	561.445	528.955	0.003	8.259	306.661	306.024	-0.021	11.826	3604.292	3657.140
b3378	yhfU	-0.544	9.769	722.573	1053.519	0.031	11.049	2141.640	2096.112	0.659	10.193	1470.917	931.557	0.361	10.114	1255.895	977.871	0.574	9.160	697.960	468.856	0.196	10.505	1555.325	1357.748	0.073	10.297	1290.308	1226.643	-0.052	9.495	708.685	734.694	-0.258	10.143	1033.985	1236.460	-0.218	9.014	479.371	557.566	-0.275	12.227	4358.150	5273.335
b3379	php	-0.268	10.186	1061.582	1278.290	0.108	11.401	2807.363	2604.878	0.568	11.031	2547.736	1718.578	0.325	12.209	5298.984	4230.170	0.561	9.709	1016.574	689.067	-0.089	9.211	574.634	611.200	0.981	9.584	1078.268	546.281	0.304	8.319	354.834	287.417	0.240	9.079	587.726	497.654	0.023	9.366	665.133	654.614	-0.098	9.447	674.652	722.073
b3380	yhfW	1.367	11.270	3966.085	1537.638	-1.018	11.300	1771.800	3588.089	-1.525	12.301	2974.641	8560.623	-1.030	12.283	3487.554	7121.671	-0.748	9.926	750.652	1260.692	-0.411	11.302	2189.673	2911.405	-0.924	9.599	563.003	1068.225	-1.033	9.657	564.371	1154.858	0.142	9.269	648.067	587.319	-0.031	8.498	357.674	365.442	0.211	9.810	965.746	834.345
b3381	yhfX																																												
b3382	yhfY	0.774	10.978	2637.582	1542.441	-0.181	11.149	2132.751	2417.835	-0.602	12.199	3816.409	5792.619	-0.536	12.224	3972.964	5760.587	-0.234	8.516	337.560	397.001	-0.817	11.124	1681.461	2962.296	-0.569	9.315	522.939	775.778	-0.380	9.535	650.317	846.285	0.044	9.475	722.573	700.869	0.019	8.859	467.395	461.280		11.769		
